weight logl sigma l k
0.000000000000000000e+00 -8.042094619060291052e+02 1.083172296697525461e-01 7.104104925461828257e-01 5.566434730549859600e-01
0.000000000000000000e+00 -8.022516175700754957e+02 1.790858224626961093e-01 3.861195833379859055e-01 2.877964702776796280e-01
0.000000000000000000e+00 -7.886884080314608809e+02 3.172151565022125475e-01 4.826595282975070234e-01 9.689938976450070962e-01
0.000000000000000000e+00 -7.800859136777160074e+02 2.482106519073131734e-01 2.939499792659621136e-01 8.651472825117931809e-01
0.000000000000000000e+00 -7.732111473883609278e+02 3.486396256516914871e-01 4.430150077373161688e-01 1.274081464125931262e-02
0.000000000000000000e+00 -7.703957371700607837e+02 2.349037177760757711e-01 7.416370341148669221e-01 1.908888979862822799e-01
0.000000000000000000e+00 -7.611208391163409033e+02 1.770609572835555312e-01 9.325559012100799183e-01 3.018161967830623738e-01
0.000000000000000000e+00 -7.525021555233051913e+02 3.305024939804600548e-01 7.429348262030119887e-01 9.751296514437217677e-01
0.000000000000000000e+00 -7.524347210224204900e+02 2.247765197622536570e-01 2.916461075125440505e-01 8.218375565134976579e-01
0.000000000000000000e+00 -7.523205455742416916e+02 2.529767286689822425e-01 3.778635134527981165e-01 8.643709527992291530e-01
0.000000000000000000e+00 -7.342533896392534416e+02 1.413811203161889907e-01 8.378156248586294819e-01 3.952454681330630493e-01
0.000000000000000000e+00 -7.287830514857519120e+02 3.383451098276550884e-01 4.080693047725727496e-01 4.405937887768918149e-02
0.000000000000000000e+00 -7.264040353512486945e+02 2.256224612610392422e-01 6.447286206089086757e-01 2.188648010652405329e-01
0.000000000000000000e+00 -7.220221857178194114e+02 2.477499244816461221e-01 7.738054746310036869e-01 8.478302110303216343e-01
0.000000000000000000e+00 -7.169132960650293853e+02 1.168394035302622314e-01 5.535260143036176972e-01 5.755983740993237951e-01
0.000000000000000000e+00 -7.160560251078713918e+02 2.026358356052796461e-01 9.363622467091163859e-01 2.626688985294237666e-01
3.426839319554886030e-320 -7.057260006657591020e+02 3.372047411070090428e-01 8.309405779572641704e-01 9.670060564046822904e-01
2.413495857965114131e-317 -6.991678226741162234e+02 2.932914094700938001e-01 7.476937590725242222e-01 9.052309011095551750e-01
4.584338043861518878e-316 -6.962226680232261060e+02 1.872282971099383797e-01 7.468190999874116942e-01 7.473040604055767311e-01
1.405075197301313994e-315 -6.951016378340608526e+02 1.196452380413661754e-01 6.196767191580127010e-01 5.816826601182312206e-01
7.754777421459209525e-315 -6.933924195614367818e+02 1.846369941000944870e-01 4.744864015383321032e-01 3.033015790827917613e-01
7.767978221629864018e-314 -6.910871336359710995e+02 2.966526255397010647e-01 1.610284898226039818e-01 1.176682902333590075e-01
5.077518595885514281e-312 -6.869061507005189924e+02 3.018547656106499444e-01 4.783636234419186284e-01 9.126875674093746227e-01
4.517416460923139793e-310 -6.824168629404177864e+02 3.272594892526375920e-01 7.572561220612514798e-01 9.450077291846792349e-01
