weight logl sigma l k
0.000000000000000000e+00 -7.264040353512486945e+02 2.256224612610392422e-01 1.289457241217817440e+01 -5.622703978695189342e-01
0.000000000000000000e+00 -7.220221857178194114e+02 2.477499244816461221e-01 1.547610949262007374e+01 6.956604220606432687e-01
0.000000000000000000e+00 -7.169132960650293853e+02 1.168394035302622314e-01 1.107052028607235350e+01 1.511967481986475903e-01
0.000000000000000000e+00 -7.160560251078713918e+02 2.026358356052796461e-01 1.872724493418232683e+01 -4.746622029411524668e-01
3.426839319554886030e-320 -7.057260006657591020e+02 3.372047411070090428e-01 1.661881155914528208e+01 9.340121128093645808e-01
2.413495857965114131e-317 -6.991678226741162234e+02 2.932914094700938001e-01 1.495387518145048489e+01 8.104618022191103499e-01
4.584338043861518878e-316 -6.962226680232261060e+02 1.872282971099383797e-01 1.493638199974823344e+01 4.946081208111534622e-01
1.405075197301313994e-315 -6.951016378340608526e+02 1.196452380413661754e-01 1.239353438316025446e+01 1.633653202364624413e-01
7.754777421459209525e-315 -6.933924195614367818e+02 1.846369941000944870e-01 9.489728030766642064e+00 -3.933968418344164775e-01
7.767978221629864018e-314 -6.910871336359710995e+02 2.966526255397010647e-01 3.220569796452079636e+00 -7.646634195332819850e-01
5.077518595885514281e-312 -6.869061507005189924e+02 3.018547656106499444e-01 9.567272468838371680e+00 8.253751348187492454e-01
4.517416460923139793e-310 -6.824168629404177864e+02 3.272594892526375920e-01 1.514512244122503049e+01 8.900154583693584698e-01
1.315965436968905419e-308 -6.790440624365614894e+02 1.191996501085459403e-01 1.037544841973896936e+01 1.268074969006687258e-01
5.300483079789437213e-305 -6.707420797629015397e+02 3.689516126074604552e-01 8.226480778777753855e+00 9.886464855979901767e-01
6.457485184389232148e-303 -6.659384675887888534e+02 2.258304228701220051e-01 9.504046190726793242e+00 5.983726086722209736e-01
7.008447023400985056e-300 -6.589478361222803642e+02 2.068467497627074492e-01 1.985641390006818696e+01 -4.587891244730295526e-01
1.287524757230393161e-299 -6.583386455861841569e+02 3.002638643655867190e-01 1.591650491584797678e+01 -7.520665144304985450e-01
1.358692550465158386e-295 -6.490735039191026772e+02 3.516501011312074265e-01 1.981396500711871766e+01 9.267160007549577472e-01
1.494811166274347606e-293 -6.443718567218270437e+02 1.471834570480481386e-01 5.632288198846586269e+00 -1.912368590009556613e-01
