weight logl k
0.000000000000000000e+00 -8.581467520484089619e+04 1.745852909148571275e+00
0.000000000000000000e+00 -8.573877206197733176e+04 -1.034745647138898050e+00
0.000000000000000000e+00 -8.566298139244041522e+04 1.744514567324124688e+00
0.000000000000000000e+00 -8.563370232658255554e+04 -1.033818343808766027e+00
0.000000000000000000e+00 -8.561634606505148986e+04 -1.033665104824924796e+00
0.000000000000000000e+00 -8.542452654811885441e+04 1.742408152878353267e+00
0.000000000000000000e+00 -8.531774083089765918e+04 1.741463813061826293e+00
0.000000000000000000e+00 -8.446468211083831557e+04 1.733896722687493952e+00
0.000000000000000000e+00 -8.433285605588876933e+04 -1.022285890348875181e+00
0.000000000000000000e+00 -8.431572675152641023e+04 -1.022133389008432758e+00
0.000000000000000000e+00 -8.403934629792805936e+04 -1.019670449349539876e+00
0.000000000000000000e+00 -8.372461062826366106e+04 1.727298082680598146e+00
0.000000000000000000e+00 -8.364846071496501099e+04 -1.016179555750969410e+00
0.000000000000000000e+00 -8.358031524958134105e+04 -1.015570056976888402e+00
0.000000000000000000e+00 -8.288486859188922972e+04 1.719772113703523786e+00
0.000000000000000000e+00 -8.285774999798057252e+04 1.719528378378124778e+00
0.000000000000000000e+00 -8.250364984410516627e+04 1.716341806662200042e+00
0.000000000000000000e+00 -8.246094054696040985e+04 1.715956958443478175e+00
0.000000000000000000e+00 -8.245685908352465776e+04 1.715920175180985829e+00
0.000000000000000000e+00 -8.234573476907874283e+04 1.714918310162716786e+00
0.000000000000000000e+00 -8.222582178190613922e+04 -1.003398624220270818e+00
0.000000000000000000e+00 -8.217281971889373381e+04 -1.002920131805016712e+00
0.000000000000000000e+00 -8.211626975796600163e+04 -1.002409423696439816e+00
0.000000000000000000e+00 -8.207189647249037807e+04 -1.002008549750624145e+00
0.000000000000000000e+00 -8.187624466369269066e+04 -1.000239592416287238e+00
0.000000000000000000e+00 -8.173346662270996603e+04 1.709384983112187673e+00
0.000000000000000000e+00 -8.170870867326442385e+04 -9.987230032990068729e-01
0.000000000000000000e+00 -8.136584161578978819e+04 1.706051709627485202e+00
0.000000000000000000e+00 -8.094626654001932184e+04 1.702237323295888061e+00
0.000000000000000000e+00 -8.088816140562115470e+04 1.701708233637295731e+00
0.000000000000000000e+00 -8.078423545049842505e+04 -9.903236371126564741e-01
0.000000000000000000e+00 -8.057089253199803352e+04 -9.883778382556025477e-01
0.000000000000000000e+00 -8.051108825998858083e+04 -9.878318861778474513e-01
