sigma l a b
1.824951146614130215e-01 6.404378738501342871e-01 7.624252527461253259e-03 3.682476211157004187e-02
1.765292082465263201e-01 7.146985999475821139e-01 7.061616416678517805e-03 7.884948712294725937e-03
1.764408191982878571e-01 6.191953507894166764e-01 7.108291228706473119e-03 4.508387090674137454e-02
2.295867961951679748e-01 5.631989294270083324e-01 7.616293762943371348e-03 -2.651621221161626352e-02
1.895212805788930588e-01 6.759030078093863914e-01 7.816289619893425356e-03 -4.293582940781304202e-03
1.747836028157234989e-01 6.389766175497030298e-01 6.733535901603138196e-03 3.649137709788163875e-02
2.030253276904738502e-01 6.184578925406282179e-01 6.388087978308941428e-03 3.874748822884077626e-02
1.770208291237818921e-01 6.299215844134052888e-01 6.840648276480121304e-03 2.089245302220010814e-02
1.965881897573366899e-01 5.916515737798424546e-01 7.271951827160491599e-03 -6.280050161060479752e-04
1.921521787440591267e-01 6.678207899030690342e-01 7.773198775760235824e-03 -2.652498937270797441e-02
1.729220612333506879e-01 7.338487731322049790e-01 7.825852669064790879e-03 -4.208339897201263113e-02
2.142798448204827899e-01 6.197231335252842976e-01 6.644748669572562993e-03 -8.596801953721699974e-03
1.939852701083611408e-01 5.436706876935444299e-01 7.403561294237248624e-03 1.405139293092982911e-02
1.801420359739392130e-01 6.667911859872737157e-01 7.374949609706263343e-03 1.848528603272514559e-02
1.815170092200786844e-01 6.095743338193336802e-01 7.098380971194653832e-03 -2.972976531564031077e-03
1.844852265256295976e-01 6.513135931359468334e-01 6.675200067050877928e-03 -1.802021942231069040e-02
1.818218976494462569e-01 6.271539308710545324e-01 7.282839626786538623e-03 5.976326299677836573e-02
1.844852265256295976e-01 6.513135931359468334e-01 6.675200067050877928e-03 -1.802021942231069040e-02
2.116404556432563977e-01 6.168474942968559249e-01 6.681774919096827858e-03 -4.472830102857283663e-02
1.872683330043745098e-01 6.519695629323538633e-01 7.144866023574912572e-03 5.835919964589209030e-03
2.028128878543626890e-01 6.160502893657464618e-01 6.876787711815400550e-03 -2.922269295796375843e-02
2.000623634772610016e-01 6.623138073164337447e-01 6.849493643824401679e-03 1.730179700019096600e-02
1.784192561780395259e-01 5.980589128908495589e-01 7.609437308582614468e-03 2.430271808200323846e-03
1.831626846251733498e-01 5.645960028591493485e-01 7.465425863998273459e-03 -1.676586108204292103e-02
2.033218012146186249e-01 5.407807723091212493e-01 7.696700052687834026e-03 5.288531322912382038e-02
1.863755426102415014e-01 6.629105380411260962e-01 6.959533795349380492e-03 1.508488132202323584e-02
2.052809634800911998e-01 5.875292448330229345e-01 7.492604823796281122e-03 6.545241100383236699e-03
2.199028545461702011e-01 6.300737607259709883e-01 7.418210025062862978e-03 -1.629649631382190655e-02
1.822148692351792942e-01 5.946186359280301037e-01 7.314798703929467627e-03 4.602382147102934695e-02
1.851390078284423646e-01 6.571135683110658210e-01 7.263962109017786661e-03 -1.617882739846754347e-03
1.811346923871068326e-01 5.775751406877739358e-01 6.848639411069126770e-03 1.615307751474226450e-03
1.870130955006667484e-01 5.846058105025133678e-01 7.597311288941165086e-03 2.229657124099393428e-02
1.738397667155528736e-01 6.056965515634755715e-01 7.744380112557257279e-03 -1.224315054586688767e-02
1.928941545436663740e-01 5.918842979883467414e-01 8.055892422524316143e-03 1.535641952899080565e-02
1.859060414394649863e-01 6.677448179970495445e-01 7.006585008157283079e-03 9.054015940220594416e-03
1.908153447890648113e-01 6.426204322539637026e-01 7.044518714693151495e-03 1.400131733437026682e-02
1.859466892291214424e-01 6.399215138953047166e-01 8.032998175196093271e-03 6.495604839109159201e-03
2.046239780305383893e-01 6.171472869639453851e-01 7.546915503437626183e-03 1.138319092183337489e-02
1.609338555287325445e-01 6.260352670390358920e-01 7.327792407369471128e-03 4.306113958452151280e-03
1.754330596421501964e-01 6.606360970040942027e-01 7.096286780413151030e-03 -2.141312927781680031e-02
1.775602939326930141e-01 5.723204790658380503e-01 7.742023372457648711e-03 -1.606282620844701192e-02
1.735624474468469014e-01 6.532249253219970520e-01 6.794587750126555858e-03 2.599397535685632477e-02
1.899179217005720899e-01 6.121049938325534567e-01 7.255537304959001899e-03 1.269447063364070871e-02
1.750755565316614304e-01 5.819241829303279934e-01 6.704048790637663624e-03 1.273319516596060907e-02
2.017696686484594104e-01 6.492546192511745584e-01 8.192374972739627226e-03 2.695461626229000984e-02
1.968919858246611920e-01 6.245542905924835742e-01 6.703423662875851452e-03 -1.140851650597585198e-02
1.966286740887835116e-01 6.373087144983856644e-01 6.286027405869601403e-03 3.235200299795160106e-02
1.679183448275866353e-01 6.921242398389336747e-01 7.035834149017275441e-03 3.637916002997565457e-02
1.787922011976320613e-01 6.067335617169204998e-01 7.745163468806402773e-03 -2.396090325905708696e-03
2.033003988643597992e-01 6.246872414072418556e-01 6.705383235136995468e-03 -4.475667946711503475e-03
1.998104752920094596e-01 5.390648399642185007e-01 7.803690625152584492e-03 -4.908580406091100912e-03
1.826344335414792353e-01 6.029598647733397376e-01 7.384707302759883907e-03 -1.038487695239487252e-02
1.969112146053385304e-01 6.444133323736827013e-01 7.595228662846773005e-03 1.413544301643598899e-02
1.806048072734131593e-01 5.469435443907267880e-01 7.578483142939448913e-03 -4.560415637783088449e-02
1.734458787579121752e-01 6.122201035767960153e-01 7.519799498866774901e-03 2.338936793734092134e-03
1.815045493831147772e-01 6.676712521341725548e-01 7.005433653710965713e-03 -1.768711432408931472e-02
1.726958498491105720e-01 5.479285385131236197e-01 7.387093183960732889e-03 -3.105130024164015623e-03
2.125783093382358768e-01 5.622745191799181086e-01 6.671667701546146745e-03 7.008930061100793196e-02
2.251397166357027579e-01 5.253459285475182705e-01 6.493986898141901332e-03 1.680158958780886280e-02
1.726871552417523215e-01 6.675026838255003758e-01 7.116610831179218111e-03 3.373397395581134717e-02
