weight logl sigma l a b
0.000000000000000000e+00 -8.096383359399256733e+03 1.766358462937730467e-01 1.420962768420806555e+01 2.847745076076634019e-02 -1.687236005040022579e+00
0.000000000000000000e+00 -8.078212738848480512e+03 3.205617222700802849e-01 1.340217105372022033e+01 -4.064297122635199960e-02 -1.968774525841774814e+00
0.000000000000000000e+00 -8.058381371836403559e+03 1.638536062821480677e-01 6.316059679337979738e+00 -4.794645218414508858e-03 1.723640278724388519e+00
0.000000000000000000e+00 -8.048297729918971527e+03 2.278074848767580596e-01 8.065073305105727286e+00 4.677682305009307762e-02 -1.412990915085938326e+00
0.000000000000000000e+00 -7.945398459978603569e+03 2.103064620961534459e-01 1.215660017561874895e+01 4.810614931630978475e-02 -9.197248173187837494e-01
0.000000000000000000e+00 -7.932657238400857750e+03 2.144752648853857080e-01 9.177825761017219364e+00 2.960542526826996645e-02 1.776744406769454887e+00
0.000000000000000000e+00 -7.875274341199100490e+03 1.928207808261837020e-01 1.827061755183958880e+01 4.207832126469297773e-02 -1.185106167483246598e+00
0.000000000000000000e+00 -7.863221516057282315e+03 2.722459969336268326e-01 1.878564663259252399e+01 -2.753257262065930341e-02 -1.945604822118106814e+00
0.000000000000000000e+00 -7.804825747269162093e+03 9.298314529902940162e-02 8.640344353205559713e+00 -6.132317116587494843e-03 1.060657864771174186e+00
0.000000000000000000e+00 -7.680280761113172957e+03 2.668588393433612982e-01 1.533721251813606301e+01 -3.710099135428980566e-02 -1.236986265521249795e+00
