c d e
2.431518543325297266e-01 2.157039639711258450e-02 -4.274348824317859563e-01
2.213534970627346610e-01 2.254960878562425192e-02 -4.081112028079717513e-01
2.140347702282974218e-01 2.294924467550765040e-02 -3.951576525622507718e-01
2.428464164040007311e-01 2.170621402878130171e-02 -4.373466016434141013e-01
2.188945344026842488e-01 2.280609821122361186e-02 -4.081417196930237079e-01
2.244770404970737321e-01 2.242400971799513379e-02 -4.121453406950890130e-01
2.230806608332964736e-01 2.251575291939337739e-02 -4.055547618555482847e-01
2.331264770300132128e-01 2.206477204537149808e-02 -4.192076993449975753e-01
2.429838476630183930e-01 2.167766252851867359e-02 -4.354144831807053029e-01
2.161755479401115121e-01 2.268529061427081855e-02 -3.895844818978047019e-01
2.139692187950592572e-01 2.288289395925010433e-02 -3.949880502816577321e-01
2.140706649998549427e-01 2.294094085998937133e-02 -3.954184236897471116e-01
2.286919900368602487e-01 2.224521615031114716e-02 -4.111584341447035440e-01
2.448557720683828265e-01 2.150346527523957010e-02 -4.352564160249440262e-01
2.519748231019360851e-01 2.117219645671723424e-02 -4.342013054693441010e-01
2.248889875540145411e-01 2.235016829301353369e-02 -4.074026480138929207e-01
2.412055515294575514e-01 2.184503495923871552e-02 -4.395993187860655071e-01
2.173730766742287823e-01 2.273481554562021764e-02 -4.040541014800574926e-01
2.048820230991996727e-01 2.338961753825902906e-02 -3.831222559254746640e-01
2.164679292454130266e-01 2.289779361049042172e-02 -4.074210345900544095e-01
2.210652939193002986e-01 2.252702423561458306e-02 -3.974134783512316416e-01
2.129450274385933373e-01 2.303455877149943390e-02 -4.031396681376966384e-01
2.314770771582010944e-01 2.205202301062431439e-02 -4.137221477779160494e-01
2.293123384465571846e-01 2.216296180001153457e-02 -4.158928186128389992e-01
2.314405770675631580e-01 2.208394123832752021e-02 -4.134392169534121253e-01
2.209124714637609177e-01 2.250204326980141320e-02 -4.028072351959340880e-01
2.254861717623479755e-01 2.235273119477905815e-02 -4.099289810347658269e-01
2.353495456916188111e-01 2.183892652028996545e-02 -4.142455273897500678e-01
2.257382983410294308e-01 2.235889954203970631e-02 -4.083285485571288564e-01
2.491723639310683414e-01 2.126052045766663179e-02 -4.383188431693225695e-01
2.395687855360020269e-01 2.174909467763429249e-02 -4.245032474733136940e-01
2.424400645161042256e-01 2.151176905592470934e-02 -4.189597659947507102e-01
2.235650666243442775e-01 2.264186367187898466e-02 -4.131009669806153806e-01
2.071349222154958980e-01 2.313115682680667515e-02 -3.786817849663056679e-01
2.277021838099047013e-01 2.217996966050089780e-02 -4.032800306204108454e-01
2.181604827173051486e-01 2.278919448659991881e-02 -4.036466697386703606e-01
2.496343981271496038e-01 2.136882989836660918e-02 -4.446067401266500241e-01
2.290285765901103332e-01 2.220783557486229534e-02 -4.115281551747138611e-01
2.281050758092457720e-01 2.214420685380491527e-02 -4.039462187317717223e-01
2.490597513035572863e-01 2.131738400088785401e-02 -4.396033613497933867e-01
2.182807995997095851e-01 2.276971842059267309e-02 -4.072861664784530600e-01
2.066449577864037934e-01 2.342397168477905814e-02 -3.928670008187329366e-01
2.380006457908538930e-01 2.178280966445730882e-02 -4.245444809302281186e-01
2.113834556156006794e-01 2.295281097674077217e-02 -3.917354384844228266e-01
2.218863658989238541e-01 2.260808783784837989e-02 -4.146200000240627404e-01
2.353121191517884014e-01 2.183362564470791439e-02 -4.166422934272701051e-01
2.246028125066652503e-01 2.236007469649286053e-02 -4.065780472921370903e-01
2.270347805100996208e-01 2.221752064906125021e-02 -4.023602612260276379e-01
2.257301838426841734e-01 2.240571299242792580e-02 -4.143318566828796401e-01
2.145894087473154688e-01 2.278210313809202886e-02 -3.914721769987652422e-01
