a b
1.013508236237535554e-02 -9.364630641997617744e-02
1.024735421297499893e-02 -9.180278623394411142e-02
1.013653845970582251e-02 -9.557031002482840876e-02
1.011003150909663834e-02 -9.068355595299948391e-02
1.021032519735139144e-02 -9.209846513150132807e-02
1.007615997538739705e-02 -9.525159720147047260e-02
1.011198754670408068e-02 -9.439577466894943925e-02
1.005565955088925240e-02 -8.818602383922446997e-02
1.002898355418513354e-02 -8.877233417393282089e-02
1.014948889948254912e-02 -8.856071331223569487e-02
1.014987088782429853e-02 -8.628191067474233478e-02
9.976546336069348764e-03 -8.797106791883679833e-02
1.004980943971219010e-02 -9.252560058867165260e-02
1.021533743921920756e-02 -9.538734701519779868e-02
1.021145962165664889e-02 -9.516028154622691027e-02
1.018319443888006381e-02 -9.676717120260169835e-02
1.001216912622832078e-02 -8.929286148883752716e-02
1.007694801375438182e-02 -9.501803637694772320e-02
1.006230396176055475e-02 -9.121119253456755338e-02
1.017535784722536224e-02 -8.980081857005584034e-02
1.008267296591053297e-02 -8.946111052231264793e-02
1.014624306255564046e-02 -9.007756896632002075e-02
1.005394935800064948e-02 -8.945875155211435725e-02
1.017430260837332012e-02 -9.192961261968179976e-02
1.000592470075090112e-02 -8.383702658946656783e-02
9.995991585078911612e-03 -9.066024138930162124e-02
1.003196372654944352e-02 -8.804522694344840694e-02
1.001786108009744547e-02 -9.335759749509797700e-02
1.006131611063661863e-02 -8.904477085293849292e-02
1.012212455767371594e-02 -8.934767311189228955e-02
1.011438343672457080e-02 -9.661626415895718800e-02
9.979119443182506155e-03 -8.968916460427855952e-02
1.012356577542715408e-02 -9.446606499285281622e-02
1.003551202250350938e-02 -9.015784910600332935e-02
1.017264053129098011e-02 -8.354309656718084121e-02
1.018917025280138139e-02 -9.418350723812163316e-02
1.007431688004636200e-02 -9.219868230314220980e-02
1.015084580881896181e-02 -9.240509026401344528e-02
1.012930134740647192e-02 -9.459702198552211172e-02
1.019399355333612534e-02 -9.748201286506130714e-02
9.971983450342690458e-03 -8.715814672793054108e-02
1.011053815471045503e-02 -9.172153073369804233e-02
1.014872231649190104e-02 -8.686507243265984002e-02
1.018936809787892445e-02 -9.679023011177401159e-02
1.002313862639690745e-02 -8.033991882908075866e-02
1.014138916524529727e-02 -9.146609094277047269e-02
1.011424842974761873e-02 -9.542972590451226367e-02
1.010356665791338482e-02 -9.207840130094502307e-02
1.007266096559683577e-02 -9.253732799269243081e-02
1.007122044481194301e-02 -9.339191430410487271e-02
1.001151080592772857e-02 -9.119669328741464298e-02
1.005067969800577110e-02 -8.974291211778795407e-02
1.005952343701370377e-02 -9.011351151855717667e-02
1.006638159968371860e-02 -8.653194684899201405e-02
1.008878382417870145e-02 -8.984687782132882994e-02
1.000591706947240311e-02 -8.565445913437419456e-02
9.957452899459408313e-03 -7.921548242403608775e-02
1.006513529798121892e-02 -9.118991089347461276e-02
1.024184813158779406e-02 -9.363697928896130840e-02
9.827816081647601509e-03 -7.775085544376025837e-02
1.010281152643860425e-02 -9.470227273374720589e-02
